;
;	This file is automatically generated.
;
; Seed = 1202
;
	.text	30,'23390 key( end -90405.2 5220.3'
	.text	20,'20250 35854.9 "LSQB"'
	.text	20,'14678 "EEPC" -7437.9'
	.text	62,'20250 -75505.4 $21B2 <> -212596 "A" w5w6k6f3c$ "ZSPE" w8q9t6a('
	.text	53,'43547 $281A x1x8v -91690.4 l0r2o8n1m 281431 l9m6v9e$('
	.text	5,'6433 '
	.text	59,'41224 -233905 $E312 255588 259994 64087 "HH" -273901 alloc('
	.text	6,'24217 '
	.text	6,'32915 '
	.text	26,'29290 t6i9s9b6u x6m( 10796'
	.text	33,'52939 p$ $11179 33652.1 "KVXZBVJ"'
	.text	50,'26238 $A0CB $10E55 p$ restore 25738.5 "RBGJJGL" ""'
	.text	41,'20874 $EEBB "RWB" $17044 x2x1p6n( -7038.1'
	.text	62,'55321 "SLADZ" "" $16DE3 >= 72937 $B766 v$ $684C 83831 "JSOJKB"'
	.text	28,'46030 $2959 "HSBY" e( $18A45'
	.text	28,'18315 $FE45 $488E "GYG" a3j0'
	.text	38,'59084 > $1BF6D -70322 11667.7 "SPDWSV"'
	.text	39,'13253 $AF3B 74872.9 "NCA" 78528.7 50686'
	.text	65,'23519 $699D n4h9c9 84868 x6m( "GPMXM" 73628.1 $1A2EB $11374 $D7FA'
	.text	6,'54258 '
	.text	16,'59221 $1D287 "W"'
	.text	17,'19304 108623 sin('
	.text	57,'18315 v$ event( t6i9s9b6u "AF" v $EF4 w8q9t6a( $98A9 m6e('
	.text	6,'23390 '
	.text	6,'23390 '
	.text	19,'25455 $17D94 u0w4a$'
	.text	39,'50652 $8C20 $123C6 "TFI" o3g7s7b2 $C99A'
	.text	48,'47500 else "IQNA" -88102 "TXIBID" "AKAD" right$('
	.text	62,'27255 -259413 $9466 $D00B $FE89 "UNSSNVO" f3h9h9d4 -79830.9 t1'
	.text	38,'32537 rand( -70569.5 -27147.3 -67212.7'
	.text	16,'8679 "XKCZRU" ""'
	.text	71,'25566 -7756.6 l0r2o8n1m -236943 k2n4$( $C61F -63810 v( l0r2o8n1m $132B7'
	.text	23,'47009 poke goto "FSMAH"'
	.text	5,'8679 '
	.text	29,'40759 restore read "D" -32714'
	.text	62,'13253 "F" $B433 -32861.3 "AXD" repeat str$( next 128529 292069'
	.text	11,'5169 -84199'
	.text	71,'314 load "WD" -77234.7 q8w4t2o( "O" $121A7 h1i$ 266455 l8k3v2d5d9f "EI"'
	.text	6,'19187 '
	.text	56,'32095 $BF0C o0k$ "" -62424.0 "NNSV" exit 132706 "" 77438'
	.text	6,'24217 '
	.text	6,'45222 '
	.text	34,'6024 "W" $16488 $1D4DF p$ o3g7s7b2'
